Id,Prediction
1,1
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,1
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,1
145,0
146,0
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,0
202,0
203,1
204,1
205,1
206,0
207,0
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,0
233,1
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,0
289,1
290,1
291,0
292,0
293,1
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,1
321,1
322,0
323,1
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,0
337,0
338,0
339,1
340,0
341,1
342,1
343,1
344,0
345,0
346,1
347,0
348,0
349,1
350,1
351,1
352,0
353,0
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,1
362,0
363,1
364,0
365,0
366,0
367,0
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,0
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,0
393,1
394,0
395,0
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,1
416,0
417,1
418,1
419,0
420,1
421,0
422,0
423,0
424,1
425,1
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,0
445,1
446,1
447,1
448,0
449,0
450,1
451,0
452,1
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,0
473,0
474,0
475,0
476,1
477,1
478,0
479,1
480,1
481,1
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,1
496,0
497,1
498,1
499,1
500,1
501,0
502,1
503,0
504,0
505,1
506,1
507,0
508,1
509,1
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,1
521,1
522,0
523,1
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,1
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,1
540,0
541,0
542,0
543,0
544,1
545,0
546,1
547,1
548,0
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,1
558,1
559,1
560,1
561,0
562,1
563,1
564,0
565,0
566,0
567,1
568,0
569,1
570,0
571,1
572,0
573,1
574,0
575,0
576,1
577,0
578,0
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,1
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,0
598,0
599,0
600,0
601,1
