Id,Prediction
1.000000,0.970285
2.000000,0.956949
3.000000,0.123284
4.000000,0.004152
5.000000,0.445065
6.000000,0.048055
7.000000,0.981369
8.000000,0.950284
9.000000,0.992477
10.000000,0.008035
11.000000,0.994542
12.000000,0.287637
13.000000,0.724807
14.000000,0.091839
15.000000,0.444985
16.000000,0.948847
17.000000,0.005982
18.000000,0.097630
19.000000,0.611778
20.000000,0.323674
21.000000,0.351348
22.000000,0.688168
23.000000,0.985623
24.000000,0.983397
25.000000,0.011764
26.000000,0.714018
27.000000,0.021826
28.000000,0.003511
29.000000,0.000496
30.000000,0.855927
31.000000,0.924156
32.000000,0.806121
33.000000,0.155575
34.000000,0.088095
35.000000,0.214497
36.000000,0.052446
37.000000,0.521733
38.000000,0.993912
39.000000,0.057818
40.000000,0.013726
41.000000,0.591575
42.000000,0.965178
43.000000,0.980194
44.000000,0.853973
45.000000,0.992247
46.000000,0.182107
47.000000,0.435429
48.000000,0.318869
49.000000,0.993460
50.000000,0.025809
51.000000,0.554148
52.000000,0.332848
53.000000,0.016919
54.000000,0.053026
55.000000,0.358468
56.000000,0.196172
57.000000,0.058392
58.000000,0.551508
59.000000,0.890653
60.000000,0.110194
61.000000,0.991859
62.000000,0.105221
63.000000,0.000023
64.000000,0.732966
65.000000,0.177236
66.000000,0.874943
67.000000,0.305950
68.000000,0.000024
69.000000,0.990990
70.000000,0.760177
71.000000,0.002560
72.000000,0.919300
73.000000,0.936365
74.000000,0.781435
75.000000,0.983773
76.000000,0.002262
77.000000,0.025958
78.000000,0.997337
79.000000,0.000254
80.000000,0.840502
81.000000,0.143047
82.000000,0.324624
83.000000,0.055106
84.000000,0.944805
85.000000,0.013688
86.000000,0.061766
87.000000,0.849436
88.000000,0.001381
89.000000,0.343847
90.000000,0.000109
91.000000,0.026617
92.000000,0.054714
93.000000,0.000893
94.000000,0.005311
95.000000,0.000107
96.000000,0.974939
97.000000,0.271701
98.000000,0.310768
99.000000,0.106703
100.000000,0.198701
101.000000,0.278197
102.000000,0.000091
103.000000,0.892854
104.000000,0.996304
105.000000,0.041614
106.000000,0.131547
107.000000,0.987217
108.000000,0.005253
109.000000,0.973453
110.000000,0.403132
111.000000,0.818904
112.000000,0.873889
113.000000,0.003792
114.000000,0.919528
115.000000,0.325869
116.000000,0.826666
117.000000,0.009345
118.000000,0.466129
119.000000,0.980951
120.000000,0.234252
121.000000,0.906294
122.000000,0.989874
123.000000,0.999228
124.000000,0.994868
125.000000,0.001371
126.000000,0.268964
127.000000,0.822818
128.000000,0.541666
129.000000,0.805379
130.000000,0.317709
131.000000,0.257456
132.000000,0.741392
133.000000,0.766762
134.000000,0.000884
135.000000,0.420861
136.000000,0.999865
137.000000,0.167359
138.000000,0.808142
139.000000,0.016137
140.000000,0.999523
141.000000,0.571702
142.000000,0.117376
143.000000,0.755383
144.000000,0.897775
145.000000,0.006696
146.000000,0.966986
147.000000,0.930807
148.000000,0.518430
149.000000,0.991670
150.000000,0.991047
151.000000,0.998443
152.000000,0.507984
153.000000,0.983144
154.000000,0.437371
155.000000,0.967596
156.000000,0.929932
157.000000,0.142093
158.000000,0.115355
159.000000,0.999949
160.000000,0.742126
161.000000,0.994726
162.000000,0.018654
163.000000,0.455715
164.000000,0.675532
165.000000,0.851124
166.000000,0.006502
167.000000,0.000130
168.000000,0.322654
169.000000,0.051102
170.000000,0.007407
171.000000,0.577625
172.000000,0.994448
173.000000,0.673128
174.000000,0.994363
175.000000,0.039061
176.000000,0.174417
177.000000,0.996832
178.000000,0.259366
179.000000,0.755452
180.000000,0.074893
181.000000,0.669276
182.000000,0.692226
183.000000,0.055875
184.000000,0.142757
185.000000,0.988440
186.000000,0.491974
187.000000,0.004778
188.000000,0.180226
189.000000,0.701103
190.000000,0.376670
191.000000,0.016205
192.000000,0.770133
193.000000,0.902026
194.000000,0.948887
195.000000,0.391190
196.000000,0.989352
197.000000,0.003046
198.000000,0.972590
199.000000,0.994931
200.000000,0.003515
201.000000,0.997237
202.000000,0.998558
203.000000,0.998425
204.000000,0.001935
205.000000,0.457121
206.000000,0.700906
207.000000,0.879050
208.000000,0.503820
209.000000,0.003794
210.000000,0.882548
211.000000,0.968569
212.000000,0.007585
213.000000,0.506027
214.000000,0.775554
215.000000,0.050179
